LightSaber,Kyber512,NTRUhps2048509,NTRULPr653,Frodo640
KeyGen,Enc,Dec
63.344086021505376,154.0,13.540023640892178,183.33224019591907
87.26099706744868,168.0,17.74554902086141,314.90451005179534
104.7546432062561,201.0,21.00550166364772,441.2311001415071
51.36950146627566,144.0,10.390156653026885,107.95535527443883
69.37047898338221,176.0,13.387910847386717,179.23615685757494
83.30009775171065,191.0,15.19218267589262,230.80241445769187
7626.064516129032,14234.0,333.2433638239233,111051.13953268371
288.0449657869013,642.0,18.268175287159686,333.7262283223919
684.802541544477,1395.0,37.312399609326086,1392.2151646060372
10251.657869012708,17370.0,912.3840781248826,832444.706015792
19191.646138807428,32389.0,1519.051987994796,2307518.9422309417
28705.769305962855,46675.0,2042.771261722343,4172914.427718694
911.0205278592375,1362.0,34.17410670129985,1167.869568831827
3468.218963831867,4266.0,55.55020231841204,3085.8249776165103
3444.5259042033235,4442.0,54.57373305652583,2978.2923397249406
