kyber512,frodoKEM640,lightsaber,ntruhrss701
Packets,Bytes,Duration
17.9995,19.0,0.07416029935214663,0.00549975
6705.337,6814.0,13.086421627014774,171.25443099999998
4603.111,4711.0,14.433214437539545,208.317679
19.222,20.0,0.6765471158759011,0.45771599999999996
24609.8115,24700.0,59.14062873989421,3497.613967750001
13658.2175,13780.0,38.19438694036075,1458.81119375
18.247,36.0,2.080142062456312,4.326991
6667.3155,13192.0,759.3179393111623,576563.7329597499
4665.5775,9242.0,530.8133607905419,281762.82399375003
18.0015,19.0,0.03870077518603471,0.00149775
7446.067,7549.0,12.346113194038033,152.426511
5005.884,5108.0,14.867802258572047,221.05154400000004
