Kyber512,LightSaber,P-256,NTRUhps2048509,X25519
Packets,Bytes,Duration
24.086,27.0,0.48229036896873667,0.23260400000000017
8236.48,8442.0,31.248449561538234,976.465599999999
0.213380530905064,2.8836536570001954,0.09315130624373591,0.008677165854914274
30.086,36.0,0.5818968980841813,0.3386039999999921
9168.695,9556.0,38.46910416165157,1479.8719749999984
14.972757515901113,15.869503463000001,0.03538456252781674,0.001252067265284973
27.938,30.0,0.3579888266412803,0.12815600000000063
7748.311,7876.0,23.57151414313473,555.6162790000006
14.988486679436145,15.103922206995776,0.014789587198359232,0.00021873188949787128
28.05,32.0,0.9249324299645031,0.8555000000000405
9016.969,9284.0,278.102772440333,77341.15203899966
15.102216457402887,146.49013941200246,4.164251531715259,17.340990819392875
27.926,30.0,0.41294551698740756,0.17052399999999732
7681.331,7807.0,27.18321980560793,738.9274389999953
14.990130276750161,16.26653161898139,0.04554550003854047,0.00207439257376069
